id,source,author,title,url,urlToImage,publishedAt,SourceId
759,msnbc,"NBC News","Two natives of Chicago on the cost of gun violence",https://www.msnbc.com/brian-williams/watch/two-natives-of-chicago-on-the-cost-of-gun-violence-1196275267609,https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201803/n_bwms_chicago_180324_1920x1080.1200;630;7;70;5.jpg,"2018-03-27 20:41:13",msnbc
760,msnbc,"NBC News","Chicago mayor says tech should be available 'universally'",https://www.msnbc.com/msnbc/watch/chicago-mayor-rahm-emanuel-talks-technology-education-and-immigration-after-apple-ipad-event-1198061123577,https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201803/n_msnbc_recode_emanuel_180329.1200;630;7;70;5.jpg,"2018-03-29 19:32:23",msnbc
761,msnbc,NULL,"Podcast follows Obama from Chicago to White House",https://www.msnbc.com/morning-joe/watch/wbez-podcast-making-obama-follows-him-from-chicago-to-the-white-house-1174103619533,https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201803/n_mj_obama_180301_1920x1080.1200;630;7;70;5.jpg,"2018-03-01 14:26:33",msnbc
762,msnbc,"NBC News","I’m personally lobbying on DACA says Apple’s Tim Cook",https://www.msnbc.com/msnbc/watch/apple-ceo-tim-cook-reveals-he-s-lobbying-on-daca-1204847171724,https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201804/n_msnbc_recode_daca_180406.1200;630;7;70;5.jpg,"2018-04-06 23:52:30",msnbc
763,msnbc,"NBC News","Apple CEO Tim Cook talks importance of encryption",https://www.msnbc.com/msnbc/watch/apple-ceo-tim-cook-talks-importance-of-encryption-1204842563515,https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201804/n_msnbc_recode_fundamental_value_180406.1200;630;7;70;5.jpg,"2018-04-06 23:47:52",msnbc
764,msnbc,"NBC News","Apple CEO Tim Cook: Technology can’t replace teachers",https://www.msnbc.com/msnbc/watch/apple-ceo-tim-cook-technology-can-t-replace-teachers-1204850243939,https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201804/n_msnbc_recode_teachers_180406.1200;630;7;70;5.jpg,"2018-04-06 23:54:33",msnbc
765,msnbc,"NBC News","Easter weekend and beyond, Pope Francis makes a global impact",https://www.msnbc.com/msnbc-originals/watch/pope-francis-makes-a-global-impact-1198908995890,https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201803/THE-POPE-TAKE-2final.1200;630;7;70;5.jpg,"2018-03-30 18:22:31",msnbc
766,msnbc,NULL,"Veteran journalist's quest to fight fake news",https://www.msnbc.com/brian-williams/watch/veteran-journalist-s-quest-to-fight-fake-news-1180871747555,https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201803/n_bwms_fakenews_180308_1920x1080.1200;630;7;70;5.jpg,"2018-03-09 00:47:19",msnbc
767,msnbc,"NBC News","'March For Our Lives' inspires Chicago gun violence victim to speak out",https://www.msnbc.com/velshi-ruhle/watch/march-for-our-lives-inspires-chicago-gun-violence-victim-to-speak-out-1194182211690,https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201803/n_vr_KshonAndArne_180324_1920x1080.1200;630;7;70;5.jpg,"2018-03-24 14:59:06",msnbc
768,msnbc,"Steve Benen","Monday's Mini-Report, 4.2.18",http://www.msnbc.com/rachel-maddow-show/mondays-mini-report-4218,http://www.msnbc.com/sites/msnbc/files/styles/ratio--1_91-1--1200x630/public/maddow_theminireport_general.png?itok=yLUr4wsw,"2018-04-02 21:30:07",msnbc
769,msnbc,"Steve Benen","This Week in God, 4.21.18",http://www.msnbc.com/rachel-maddow-show/week-god-42118,http://www.msnbc.com/sites/msnbc/files/styles/ratio--1_91-1--1200x630/public/campaign_2016_trump.jpeg-5d0da.jpg?itok=sD_fHAK5,"2018-04-21 00:12:20",msnbc
770,msnbc,"Steve Benen","Thursday's Campaign Round-Up, 3.15.18",http://www.msnbc.com/rachel-maddow-show/thursdays-campaign-round-31518,http://www.msnbc.com/sites/msnbc/files/styles/ratio--1_91-1--1200x630/public/maddow_campaignroundup_general.png?itok=q9pFWELg,"2018-03-15 15:41:10",msnbc
771,msnbc,"Steve Benen","Friday's Mini-Report, 4.20.18",http://www.msnbc.com/rachel-maddow-show/fridays-mini-report-42018,http://www.msnbc.com/sites/msnbc/files/styles/ratio--1_91-1--1200x630/public/maddow_theminireport_general.png?itok=yLUr4wsw,"2018-04-20 21:30:13",msnbc
772,msnbc,"Steve Benen","Monday's Mini-Report, 4.9.18",http://www.msnbc.com/rachel-maddow-show/mondays-mini-report-4918,http://www.msnbc.com/sites/msnbc/files/styles/ratio--1_91-1--1200x630/public/maddow_theminireport_general.png?itok=yLUr4wsw,"2018-04-09 21:09:20",msnbc
773,msnbc,"Steve Benen","Republican tax cuts not working out as...",http://www.msnbc.com/rachel-maddow-show/republican-tax-cuts-not-working-out-the-gop-intended,http://www.msnbc.com/sites/msnbc/files/styles/ratio--1_91-1--1200x630/public/2017-05-04t204549z_69373343_hp1ed541loc1z_rtrmadp_3_usa-healthcare-trump.jpg?itok=NFvoJZBw,"2018-03-28 14:41:58",msnbc
774,cbs-news,"Crimesider Staff","Chicago police gang database criticized for inaccuracies",https://www.cbsnews.com/news/chicago-police-gang-database-criticized-for-inaccuracies/,https://cbsnews2.cbsistatic.com/hub/i/r/2017/07/25/b9e6292d-dd47-482b-a997-dd4cfe213b1f/thumbnail/1200x630/5fb89b5f41a00f5d6b93841060535701/chi-police.jpg,"2018-05-01 19:27:05",cbs-news
775,cbs-news,CBS/AP,"Michigan defeats Loyola-Chicago in Final Four",https://www.cbsnews.com/news/march-madness-final-four-michigan-defeats-loyola-chicago-2018-03-31/,https://cbsnews3.cbsistatic.com/hub/i/r/2018/04/01/fa866d0e-5090-4eb8-96c5-17e185d7fbfc/thumbnail/1200x630/a05fc18608c2d339493ec6b7d68455ca/ap-18091020835214.jpg,"2018-04-01 00:43:08",cbs-news
776,vice-news,"Hilary Pollack, Munchies Staff","Fleetwood Mac-Themed Bar Opens in Chicago",https://munchies.vice.com/en_us/article/pavg88/fleetwood-mac-themed-bar-chicago,"https://video-images.vice.com/articles/5b05923699140400079d7b2d/lede/1527102140582-fleetwood-mac-bar-featured-image-2.jpeg?crop=0.9416091954022988xw:1xh;center,center&resize=1200:*","2018-05-23 20:41:03",vice-news
777,vice-news,"Lawrence Burney, Leslie Horn","Kembe X's "Goofass" Is a Great Way To Let Off Steam",https://noisey.vice.com/en_us/article/wj7wnw/kembe-xs-goofass-is-a-great-way-to-let-off-steam,"https://video-images.vice.com/articles/5aeca190a3bdf8000a6172a2/lede/1525457297674-kembe.jpeg?crop=1xw:0.8427xh;0xw,0.0031xh&resize=1200:*","2018-05-04 18:15:00",vice-news
778,vice-news,"Tess Owen","Chicago gang cops indicted for stealing drugs, cash and cigarettes",https://news.vice.com/en_us/article/mbkjb8/chicago-gang-cops-indicted-for-stealing-drugs-cash-and-cigarettes,"https://video-images.vice.com/articles/5af49f0012f5200009797cf4/lede/1525981673708-GettyImages-635010002.jpeg?crop=1xw:0.84375xh;center,center","2018-05-10 19:53:57",vice-news
